Title,Description,Text,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Overall Sentiment
Octopus Australia buys Dulacca Wind Farm,"Octopus Investments has made its fourth investment in Australia, acquiring the Dulacca Wind Farm from global renewable energy company RES.","Octopus Australia buys Dulacca Wind Farm. Octopus Investments has made its fourth investment in Australia, acquiring the Dulacca Wind Farm from global renewable energy company RES.",0.49700409173965454,0.4928039610385895,0.010191959328949451,Negative Sentiment
Brisbane couple builds tech giant on the quiet,The hunt for the next Atlassian could be over after Paul and Sonia Stovell’s little-known Octopus Deploy banked one of the biggest ever local tech VC investments.,Brisbane couple builds tech giant on the quiet. The hunt for the next Atlassian could be over after Paul and Sonia Stovell’s little-known Octopus Deploy banked one of the biggest ever local tech VC investments.,0.8463711738586426,0.12884895503520966,0.024779897183179855,Negative Sentiment
